theta    F(theta)
-180.0    4.033
-175.0    4.017
-170.0    3.97
-165.0    3.892
-160.0    3.787
-155.0    3.659
-150.0    3.512
-145.0    3.351
-140.0    3.182
-135.0    3.01
-130.0    2.84
-125.0    2.677
-120.0    2.527
-115.0    2.393
-110.0    2.279
-105.0    2.188
-100.0    2.121
-95.0    2.081
-90.0    2.067
-85.0    2.081
-80.0    2.121
-75.0    2.188
-70.0    2.28
-65.0    2.394
-60.0    2.528
-55.0    2.679
-50.0    2.843
-45.0    3.014
-40.0    3.188
-35.0    3.359
-30.0    3.521
-25.0    3.668
-20.0    3.796
-15.0    3.9
-10.0    3.977
-5.0    4.024
0.0    4.04
5.0    4.024
10.0    3.977
15.0    3.9
20.0    3.796
25.0    3.668
30.0    3.521
35.0    3.359
40.0    3.188
45.0    3.014
50.0    2.843
55.0    2.679
60.0    2.528
65.0    2.394
70.0    2.28
75.0    2.188
80.0    2.121
85.0    2.081
90.0    2.067
95.0    2.081
100.0    2.121
105.0    2.188
110.0    2.279
115.0    2.393
120.0    2.527
125.0    2.677
130.0    2.84
135.0    3.01
140.0    3.182
145.0    3.351
150.0    3.512
155.0    3.659
160.0    3.787
165.0    3.892
170.0    3.97
175.0    4.017
