theta    F(theta)
-180.0    4.033
-175.0    3.95
-170.0    3.701
-165.0    3.293
-160.0    2.74
-155.0    2.057
-150.0    1.268
-145.0    0.4007
-140.0    -0.5104
-135.0    -1.43
-130.0    -2.324
-125.0    -3.161
-120.0    -3.921
-115.0    -4.587
-110.0    -5.152
-105.0    -5.606
-100.0    -5.941
-95.0    -6.147
-90.0    -6.217
-85.0    -6.147
-80.0    -5.94
-75.0    -5.605
-70.0    -5.15
-65.0    -4.585
-60.0    -3.917
-55.0    -3.156
-50.0    -2.317
-45.0    -1.423
-40.0    -0.5019
-35.0    0.4099
-30.0    1.277
-25.0    2.066
-20.0    2.749
-15.0    3.302
-10.0    3.708
-5.0    3.957
0.0    4.04
5.0    3.957
10.0    3.708
15.0    3.302
20.0    2.749
25.0    2.066
30.0    1.277
35.0    0.4099
40.0    -0.5019
45.0    -1.423
50.0    -2.317
55.0    -3.156
60.0    -3.917
65.0    -4.585
70.0    -5.15
75.0    -5.605
80.0    -5.94
85.0    -6.147
90.0    -6.217
95.0    -6.147
100.0    -5.941
105.0    -5.606
110.0    -5.152
115.0    -4.587
120.0    -3.921
125.0    -3.161
130.0    -2.324
135.0    -1.43
140.0    -0.5104
145.0    0.4007
150.0    1.268
155.0    2.057
160.0    2.74
165.0    3.293
170.0    3.701
175.0    3.95
