theta    F(theta)
-180.0    4.033
-175.0    3.958
-170.0    3.735
-165.0    3.372
-160.0    2.88
-155.0    2.278
-150.0    1.587
-145.0    0.8363
-140.0    0.05468
-135.0    -0.7263
-130.0    -1.478
-125.0    -2.177
-120.0    -2.806
-115.0    -3.353
-110.0    -3.811
-105.0    -4.176
-100.0    -4.442
-95.0    -4.604
-90.0    -4.658
-85.0    -4.604
-80.0    -4.441
-75.0    -4.175
-70.0    -3.81
-65.0    -3.351
-60.0    -2.803
-55.0    -2.173
-50.0    -1.473
-45.0    -0.7196
-40.0    0.0627
-35.0    0.8452
-30.0    1.597
-25.0    2.287
-20.0    2.889
-15.0    3.38
-10.0    3.743
-5.0    3.965
0.0    4.04
5.0    3.965
10.0    3.743
15.0    3.38
20.0    2.889
25.0    2.287
30.0    1.597
35.0    0.8452
40.0    0.0627
45.0    -0.7196
50.0    -1.473
55.0    -2.173
60.0    -2.803
65.0    -3.351
70.0    -3.81
75.0    -4.175
80.0    -4.441
85.0    -4.604
90.0    -4.658
95.0    -4.604
100.0    -4.442
105.0    -4.176
110.0    -3.811
115.0    -3.353
120.0    -2.806
125.0    -2.177
130.0    -1.478
135.0    -0.7263
140.0    0.05468
145.0    0.8363
150.0    1.587
155.0    2.278
160.0    2.88
165.0    3.372
170.0    3.735
175.0    3.958
