theta    F(theta)
-180.0    4.033
-175.0    3.985
-170.0    3.84
-165.0    3.607
-160.0    3.296
-155.0    2.921
-150.0    2.499
-145.0    2.048
-140.0    1.589
-135.0    1.138
-130.0    0.7107
-125.0    0.3182
-120.0    -0.03091
-115.0    -0.3316
-110.0    -0.5807
-105.0    -0.7762
-100.0    -0.9168
-95.0    -1.002
-90.0    -1.03
-85.0    -1.002
-80.0    -0.9168
-75.0    -0.7762
-70.0    -0.5804
-65.0    -0.3309
-60.0    -0.0294
-55.0    0.3208
-50.0    0.7146
-45.0    1.143
-40.0    1.596
-35.0    2.056
-30.0    2.507
-25.0    2.93
-20.0    3.305
-15.0    3.615
-10.0    3.848
-5.0    3.991
0.0    4.04
5.0    3.991
10.0    3.848
15.0    3.615
20.0    3.305
25.0    2.93
30.0    2.507
35.0    2.056
40.0    1.596
45.0    1.143
50.0    0.7146
55.0    0.3208
60.0    -0.0294
65.0    -0.3309
70.0    -0.5804
75.0    -0.7762
80.0    -0.9168
85.0    -1.002
90.0    -1.03
95.0    -1.002
100.0    -0.9168
105.0    -0.7762
110.0    -0.5807
115.0    -0.3316
120.0    -0.03091
125.0    0.3182
130.0    0.7107
135.0    1.138
140.0    1.589
145.0    2.048
150.0    2.499
155.0    2.921
160.0    3.296
165.0    3.607
170.0    3.84
175.0    3.985
