theta    F(theta)
-180.0    4.033
-175.0    3.976
-170.0    3.806
-165.0    3.531
-160.0    3.163
-155.0    2.716
-150.0    2.212
-145.0    1.671
-140.0    1.117
-135.0    0.5713
-130.0    0.05266
-125.0    -0.4243
-120.0    -0.8493
-115.0    -1.216
-110.0    -1.52
-105.0    -1.759
-100.0    -1.931
-95.0    -2.035
-90.0    -2.07
-85.0    -2.035
-80.0    -1.931
-75.0    -1.759
-70.0    -1.519
-65.0    -1.215
-60.0    -0.8475
-55.0    -0.4214
-50.0    0.05693
-45.0    0.5771
-40.0    1.124
-35.0    1.679
-30.0    2.221
-25.0    2.725
-20.0    3.171
-15.0    3.539
-10.0    3.814
-5.0    3.983
0.0    4.04
5.0    3.983
10.0    3.814
15.0    3.539
20.0    3.171
25.0    2.725
30.0    2.221
35.0    1.679
40.0    1.124
45.0    0.5771
50.0    0.05693
55.0    -0.4214
60.0    -0.8475
65.0    -1.215
70.0    -1.519
75.0    -1.759
80.0    -1.931
85.0    -2.035
90.0    -2.07
95.0    -2.035
100.0    -1.931
105.0    -1.759
110.0    -1.52
115.0    -1.216
120.0    -0.8493
125.0    -0.4243
130.0    0.05266
135.0    0.5713
140.0    1.117
145.0    1.671
150.0    2.212
155.0    2.716
160.0    3.163
165.0    3.531
170.0    3.806
175.0    3.976
