theta    F(theta)
-180.0    4.033
-175.0    3.928
-170.0    3.613
-165.0    3.093
-160.0    2.375
-155.0    1.473
-150.0    0.4049
-145.0    -0.804
-140.0    -2.118
-135.0    -3.494
-130.0    -4.88
-125.0    -6.229
-120.0    -7.503
-115.0    -8.683
-110.0    -9.759
-105.0    -10.71
-100.0    -11.5
-95.0    -12.03
-90.0    -12.22
-85.0    -12.03
-80.0    -11.49
-75.0    -10.71
-70.0    -9.752
-65.0    -8.675
-60.0    -7.495
-55.0    -6.22
-50.0    -4.871
-45.0    -3.484
-40.0    -2.108
-35.0    -0.7936
-30.0    0.415
-25.0    1.483
-20.0    2.384
-15.0    3.101
-10.0    3.62
-5.0    3.935
0.0    4.04
5.0    3.935
10.0    3.62
15.0    3.101
20.0    2.384
25.0    1.483
30.0    0.415
35.0    -0.7936
40.0    -2.108
45.0    -3.484
50.0    -4.871
55.0    -6.22
60.0    -7.495
65.0    -8.675
70.0    -9.752
75.0    -10.71
80.0    -11.49
85.0    -12.03
90.0    -12.22
95.0    -12.03
100.0    -11.5
105.0    -10.71
110.0    -9.759
115.0    -8.683
120.0    -7.503
125.0    -6.229
130.0    -4.88
135.0    -3.494
140.0    -2.118
145.0    -0.804
150.0    0.4049
155.0    1.473
160.0    2.375
165.0    3.093
170.0    3.613
175.0    3.928
