theta    F(theta)
-180.0    4.033
-175.0    4.018
-170.0    3.973
-165.0    3.899
-160.0    3.799
-155.0    3.676
-150.0    3.535
-145.0    3.38
-140.0    3.216
-135.0    3.049
-130.0    2.884
-125.0    2.725
-120.0    2.579
-115.0    2.448
-110.0    2.336
-105.0    2.246
-100.0    2.18
-95.0    2.14
-90.0    2.127
-85.0    2.14
-80.0    2.18
-75.0    2.246
-70.0    2.336
-65.0    2.448
-60.0    2.58
-55.0    2.727
-50.0    2.887
-45.0    3.053
-40.0    3.222
-35.0    3.387
-30.0    3.543
-25.0    3.685
-20.0    3.807
-15.0    3.907
-10.0    3.98
-5.0    4.025
0.0    4.04
5.0    4.025
10.0    3.98
15.0    3.907
20.0    3.807
25.0    3.685
30.0    3.543
35.0    3.387
40.0    3.222
45.0    3.053
50.0    2.887
55.0    2.727
60.0    2.58
65.0    2.448
70.0    2.336
75.0    2.246
80.0    2.18
85.0    2.14
90.0    2.127
95.0    2.14
100.0    2.18
105.0    2.246
110.0    2.336
115.0    2.448
120.0    2.579
125.0    2.725
130.0    2.884
135.0    3.049
140.0    3.216
145.0    3.38
150.0    3.535
155.0    3.676
160.0    3.799
165.0    3.899
170.0    3.973
175.0    4.018
