theta    F(theta)
-180.0    4.033
-175.0    3.993
-170.0    3.872
-165.0    3.678
-160.0    3.42
-155.0    3.108
-150.0    2.759
-145.0    2.388
-140.0    2.009
-135.0    1.638
-130.0    1.286
-125.0    0.9626
-120.0    0.6743
-115.0    0.4256
-110.0    0.2194
-105.0    0.05748
-100.0    -0.05895
-95.0    -0.1291
-90.0    -0.1526
-85.0    -0.1292
-80.0    -0.05897
-75.0    0.05753
-70.0    0.2197
-65.0    0.4262
-60.0    0.6756
-55.0    0.965
-50.0    1.29
-45.0    1.643
-40.0    2.016
-35.0    2.396
-30.0    2.768
-25.0    3.117
-20.0    3.428
-15.0    3.686
-10.0    3.88
-5.0    4.0
0.0    4.04
5.0    4.0
10.0    3.88
15.0    3.686
20.0    3.428
25.0    3.117
30.0    2.768
35.0    2.396
40.0    2.016
45.0    1.643
50.0    1.29
55.0    0.965
60.0    0.6756
65.0    0.4262
70.0    0.2197
75.0    0.05753
80.0    -0.05897
85.0    -0.1292
90.0    -0.1526
95.0    -0.1291
100.0    -0.05895
105.0    0.05748
110.0    0.2194
115.0    0.4256
120.0    0.6743
125.0    0.9626
130.0    1.286
135.0    1.638
140.0    2.009
145.0    2.388
150.0    2.759
155.0    3.108
160.0    3.42
165.0    3.678
170.0    3.872
175.0    3.993
