theta    F(theta)
-180.0    4.033
-175.0    3.967
-170.0    3.771
-165.0    3.452
-160.0    3.022
-155.0    2.5
-150.0    1.905
-145.0    1.264
-140.0    0.6019
-135.0    -0.05397
-130.0    -0.6806
-125.0    -1.259
-120.0    -1.777
-115.0    -2.225
-110.0    -2.598
-105.0    -2.892
-100.0    -3.105
-95.0    -3.234
-90.0    -3.278
-85.0    -3.234
-80.0    -3.105
-75.0    -2.892
-70.0    -2.597
-65.0    -2.224
-60.0    -1.775
-55.0    -1.256
-50.0    -0.6759
-45.0    -0.04774
-40.0    0.6095
-35.0    1.272
-30.0    1.914
-25.0    2.509
-20.0    3.031
-15.0    3.46
-10.0    3.778
-5.0    3.974
0.0    4.04
5.0    3.974
10.0    3.778
15.0    3.46
20.0    3.031
25.0    2.509
30.0    1.914
35.0    1.272
40.0    0.6095
45.0    -0.04774
50.0    -0.6759
55.0    -1.256
60.0    -1.775
65.0    -2.224
70.0    -2.597
75.0    -2.892
80.0    -3.105
85.0    -3.234
90.0    -3.278
95.0    -3.234
100.0    -3.105
105.0    -2.892
110.0    -2.598
115.0    -2.225
120.0    -1.777
125.0    -1.259
130.0    -0.6806
135.0    -0.05397
140.0    0.6019
145.0    1.264
150.0    1.905
155.0    2.5
160.0    3.022
165.0    3.452
170.0    3.771
175.0    3.967
