theta    F(theta)
-180.0    4.033
-175.0    4.0
-170.0    3.901
-165.0    3.742
-160.0    3.53
-155.0    3.275
-150.0    2.988
-145.0    2.683
-140.0    2.372
-135.0    2.066
-130.0    1.775
-125.0    1.506
-120.0    1.265
-115.0    1.057
-110.0    0.8836
-105.0    0.7471
-100.0    0.6487
-95.0    0.5894
-90.0    0.5695
-85.0    0.5894
-80.0    0.6487
-75.0    0.7472
-70.0    0.8838
-65.0    1.058
-60.0    1.267
-55.0    1.508
-50.0    1.778
-45.0    2.071
-40.0    2.379
-35.0    2.691
-30.0    2.997
-25.0    3.283
-20.0    3.538
-15.0    3.75
-10.0    3.909
-5.0    4.007
0.0    4.04
5.0    4.007
10.0    3.909
15.0    3.75
20.0    3.538
25.0    3.283
30.0    2.997
35.0    2.691
40.0    2.379
45.0    2.071
50.0    1.778
55.0    1.508
60.0    1.267
65.0    1.058
70.0    0.8838
75.0    0.7472
80.0    0.6487
85.0    0.5894
90.0    0.5695
95.0    0.5894
100.0    0.6487
105.0    0.7471
110.0    0.8836
115.0    1.057
120.0    1.265
125.0    1.506
130.0    1.775
135.0    2.066
140.0    2.372
145.0    2.683
150.0    2.988
155.0    3.275
160.0    3.53
165.0    3.742
170.0    3.901
175.0    4.0
