theta    F(theta)
-180.0    4.033
-175.0    3.934
-170.0    3.639
-165.0    3.152
-160.0    2.483
-155.0    1.647
-150.0    0.6647
-145.0    -0.4362
-140.0    -1.62
-135.0    -2.843
-130.0    -4.06
-125.0    -5.227
-120.0    -6.311
-115.0    -7.29
-110.0    -8.153
-105.0    -8.882
-100.0    -9.449
-95.0    -9.814
-90.0    -9.94
-85.0    -9.813
-80.0    -9.446
-75.0    -8.878
-70.0    -8.149
-65.0    -7.285
-60.0    -6.304
-55.0    -5.22
-50.0    -4.052
-45.0    -2.834
-40.0    -1.61
-35.0    -0.4262
-30.0    0.6746
-25.0    1.657
-20.0    2.492
-15.0    3.16
-10.0    3.646
-5.0    3.941
0.0    4.04
5.0    3.941
10.0    3.646
15.0    3.16
20.0    2.492
25.0    1.657
30.0    0.6746
35.0    -0.4262
40.0    -1.61
45.0    -2.834
50.0    -4.052
55.0    -5.22
60.0    -6.304
65.0    -7.285
70.0    -8.149
75.0    -8.878
80.0    -9.446
85.0    -9.813
90.0    -9.94
95.0    -9.814
100.0    -9.449
105.0    -8.882
110.0    -8.153
115.0    -7.29
120.0    -6.311
125.0    -5.227
130.0    -4.06
135.0    -2.843
140.0    -1.62
145.0    -0.4362
150.0    0.6647
155.0    1.647
160.0    2.483
165.0    3.152
170.0    3.639
175.0    3.934
