theta    F(theta)
-180.0    4.033
-175.0    4.015
-170.0    3.961
-165.0    3.872
-160.0    3.754
-155.0    3.61
-150.0    3.445
-145.0    3.266
-140.0    3.08
-135.0    2.891
-130.0    2.707
-125.0    2.532
-120.0    2.372
-115.0    2.23
-110.0    2.11
-105.0    2.013
-100.0    1.943
-95.0    1.901
-90.0    1.886
-85.0    1.901
-80.0    1.943
-75.0    2.014
-70.0    2.11
-65.0    2.231
-60.0    2.373
-55.0    2.534
-50.0    2.71
-45.0    2.896
-40.0    3.086
-35.0    3.274
-30.0    3.453
-25.0    3.618
-20.0    3.762
-15.0    3.881
-10.0    3.968
-5.0    4.022
0.0    4.04
5.0    4.022
10.0    3.968
15.0    3.881
20.0    3.762
25.0    3.618
30.0    3.453
35.0    3.274
40.0    3.086
45.0    2.896
50.0    2.71
55.0    2.534
60.0    2.373
65.0    2.231
70.0    2.11
75.0    2.014
80.0    1.943
85.0    1.901
90.0    1.886
95.0    1.901
100.0    1.943
105.0    2.013
110.0    2.11
115.0    2.23
120.0    2.372
125.0    2.532
130.0    2.707
135.0    2.891
140.0    3.08
145.0    3.266
150.0    3.445
155.0    3.61
160.0    3.754
165.0    3.872
170.0    3.961
175.0    4.015
