theta    F(theta)
-180.0    4.033
-175.0    4.011
-170.0    3.946
-165.0    3.84
-160.0    3.699
-155.0    3.528
-150.0    3.334
-145.0    3.126
-140.0    2.91
-135.0    2.694
-130.0    2.486
-125.0    2.29
-120.0    2.112
-115.0    1.955
-110.0    1.823
-105.0    1.719
-100.0    1.643
-95.0    1.596
-90.0    1.581
-85.0    1.596
-80.0    1.643
-75.0    1.719
-70.0    1.824
-65.0    1.956
-60.0    2.113
-55.0    2.292
-50.0    2.489
-45.0    2.699
-40.0    2.916
-35.0    3.133
-30.0    3.342
-25.0    3.536
-20.0    3.707
-15.0    3.848
-10.0    3.953
-5.0    4.018
0.0    4.04
5.0    4.018
10.0    3.953
15.0    3.848
20.0    3.707
25.0    3.536
30.0    3.342
35.0    3.133
40.0    2.916
45.0    2.699
50.0    2.489
55.0    2.292
60.0    2.113
65.0    1.956
70.0    1.824
75.0    1.719
80.0    1.643
85.0    1.596
90.0    1.581
95.0    1.596
100.0    1.643
105.0    1.719
110.0    1.823
115.0    1.955
120.0    2.112
125.0    2.29
130.0    2.486
135.0    2.694
140.0    2.91
145.0    3.126
150.0    3.334
155.0    3.528
160.0    3.699
165.0    3.84
170.0    3.946
175.0    4.011
