theta    F(theta)
-180.0    4.033
-175.0    4.006
-170.0    3.926
-165.0    3.796
-160.0    3.623
-155.0    3.415
-150.0    3.181
-145.0    2.93
-140.0    2.673
-135.0    2.419
-130.0    2.175
-125.0    1.948
-120.0    1.744
-115.0    1.566
-110.0    1.416
-105.0    1.299
-100.0    1.213
-95.0    1.162
-90.0    1.145
-85.0    1.162
-80.0    1.213
-75.0    1.299
-70.0    1.417
-65.0    1.566
-60.0    1.745
-55.0    1.95
-50.0    2.178
-45.0    2.424
-40.0    2.68
-35.0    2.938
-30.0    3.189
-25.0    3.424
-20.0    3.632
-15.0    3.804
-10.0    3.933
-5.0    4.013
0.0    4.04
5.0    4.013
10.0    3.933
15.0    3.804
20.0    3.632
25.0    3.424
30.0    3.189
35.0    2.938
40.0    2.68
45.0    2.424
50.0    2.178
55.0    1.95
60.0    1.745
65.0    1.566
70.0    1.417
75.0    1.299
80.0    1.213
85.0    1.162
90.0    1.145
95.0    1.162
100.0    1.213
105.0    1.299
110.0    1.416
115.0    1.566
120.0    1.744
125.0    1.948
130.0    2.175
135.0    2.419
140.0    2.673
145.0    2.93
150.0    3.181
155.0    3.415
160.0    3.623
165.0    3.796
170.0    3.926
175.0    4.006
