theta    F(theta)
-180.0    4.033
-175.0    3.919
-170.0    3.577
-165.0    3.009
-160.0    2.222
-155.0    1.222
-150.0    0.02501
-145.0    -1.35
-140.0    -2.873
-135.0    -4.502
-130.0    -6.184
-125.0    -7.87
-120.0    -9.529
-115.0    -11.17
-110.0    -12.83
-105.0    -14.58
-100.0    -16.4
-95.0    -18.0
-90.0    -18.71
-85.0    -17.99
-80.0    -16.38
-75.0    -14.57
-70.0    -12.82
-65.0    -11.15
-60.0    -9.516
-55.0    -7.858
-50.0    -6.172
-45.0    -4.49
-40.0    -2.862
-35.0    -1.339
-30.0    0.03542
-25.0    1.232
-20.0    2.231
-15.0    3.017
-10.0    3.584
-5.0    3.926
0.0    4.04
5.0    3.926
10.0    3.584
15.0    3.017
20.0    2.231
25.0    1.232
30.0    0.03542
35.0    -1.339
40.0    -2.862
45.0    -4.49
50.0    -6.172
55.0    -7.858
60.0    -9.516
65.0    -11.15
70.0    -12.82
75.0    -14.57
80.0    -16.38
85.0    -17.99
90.0    -18.71
95.0    -18.0
100.0    -16.4
105.0    -14.58
110.0    -12.83
115.0    -11.17
120.0    -9.529
125.0    -7.87
130.0    -6.184
135.0    -4.502
140.0    -2.873
145.0    -1.35
150.0    0.02501
155.0    1.222
160.0    2.222
165.0    3.009
170.0    3.577
175.0    3.919
