theta    F(theta)
-180.0    4.033
-175.0    3.916
-170.0    3.564
-165.0    2.98
-160.0    2.168
-155.0    1.134
-150.0    -0.111
-145.0    -1.548
-140.0    -3.152
-135.0    -4.881
-130.0    -6.688
-125.0    -8.525
-120.0    -10.37
-115.0    -12.27
-110.0    -14.36
-105.0    -16.89
-100.0    -20.39
-95.0    -26.39
-90.0    -72.04
-85.0    -26.33
-80.0    -20.36
-75.0    -16.87
-70.0    -14.34
-65.0    -12.26
-60.0    -10.36
-55.0    -8.511
-50.0    -6.675
-45.0    -4.869
-40.0    -3.14
-35.0    -1.537
-30.0    -0.1005
-25.0    1.143
-20.0    2.176
-15.0    2.988
-10.0    3.571
-5.0    3.923
0.0    4.04
5.0    3.923
10.0    3.571
15.0    2.988
20.0    2.176
25.0    1.143
30.0    -0.1005
35.0    -1.537
40.0    -3.14
45.0    -4.869
50.0    -6.675
55.0    -8.511
60.0    -10.36
65.0    -12.26
70.0    -14.34
75.0    -16.87
80.0    -20.36
85.0    -26.33
90.0    -72.04
95.0    -26.39
100.0    -20.39
105.0    -16.89
110.0    -14.36
115.0    -12.27
120.0    -10.37
125.0    -8.525
130.0    -6.688
135.0    -4.881
140.0    -3.152
145.0    -1.548
150.0    -0.111
155.0    1.134
160.0    2.168
165.0    2.98
170.0    3.564
175.0    3.916
