theta    F(theta)
-180.0    4.033
-175.0    3.942
-170.0    3.668
-165.0    3.219
-160.0    2.606
-155.0    1.844
-150.0    0.9562
-145.0    -0.02885
-140.0    -1.076
-135.0    -2.144
-130.0    -3.194
-125.0    -4.189
-120.0    -5.1
-115.0    -5.91
-110.0    -6.606
-105.0    -7.177
-100.0    -7.606
-95.0    -7.875
-90.0    -7.966
-85.0    -7.874
-80.0    -7.605
-75.0    -7.175
-70.0    -6.604
-65.0    -5.906
-60.0    -5.096
-55.0    -4.183
-50.0    -3.187
-45.0    -2.136
-40.0    -1.067
-35.0    -0.01922
-30.0    0.9659
-25.0    1.853
-20.0    2.615
-15.0    3.227
-10.0    3.675
-5.0    3.948
0.0    4.04
5.0    3.948
10.0    3.675
15.0    3.227
20.0    2.615
25.0    1.853
30.0    0.9659
35.0    -0.01922
40.0    -1.067
45.0    -2.136
50.0    -3.187
55.0    -4.183
60.0    -5.096
65.0    -5.906
70.0    -6.604
75.0    -7.175
80.0    -7.605
85.0    -7.874
90.0    -7.966
95.0    -7.875
100.0    -7.606
105.0    -7.177
110.0    -6.606
115.0    -5.91
120.0    -5.1
125.0    -4.189
130.0    -3.194
135.0    -2.144
140.0    -1.076
145.0    -0.02885
150.0    0.9562
155.0    1.844
160.0    2.606
165.0    3.219
170.0    3.668
175.0    3.942
